City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
547,trunovskoye,45.4878,42.1358,294.87,100,100,3.98,RU,1688920480
548,zaragoza,41.6561,-0.8773,310.38,0,0,2.57,ES,1688920481
549,labrador city,52.9463,-66.9114,299.1,75,75,3.09,CA,1688920434
550,ulysses,37.5814,-101.3552,292.92,0,0,4.63,US,1688920481
551,sumbe,-11.2061,13.8437,294.09,2,2,2.06,AO,1688920481
552,pimentel,-6.8367,-79.9342,297.31,75,75,3.09,PE,1688920481
553,tarko-sale,64.9225,77.785,287.81,44,44,4.34,RU,1688920482
554,ibaraki,34.8164,135.5683,300.28,100,100,3.09,JP,1688920482
555,pachino,36.7186,15.0907,300.21,0,0,2.05,IT,1688920482
556,boundiali,9.5217,-6.4869,304.39,100,100,2.62,CI,1688920482
557,port augusta,-32.5,137.7667,283.6,63,63,1.93,AU,1688920483
558,san carlos,9.6612,-68.5827,302.04,39,39,2.18,VE,1688920483
559,baotou,40.6522,109.8222,299.58,74,74,0.45,CN,1688920483
560,kyzyl-suu,42.3414,78.0056,287.16,37,37,1.41,KG,1688920483
561,nabire,-3.3667,135.4833,297.36,98,98,1.36,ID,1688920483
562,castillos,-34.1667,-53.8333,287.9,100,100,2.52,UY,1688920484
563,taroa,8.7058,171.2275,301.23,99,99,7.52,MH,1688920484
564,suarez,2.954,-76.6964,301.79,22,22,1.11,CO,1688920484
565,kismayo,-0.3582,42.5454,298.35,39,39,8.45,SO,1688920484
566,manokwari,-0.8667,134.0833,298.93,97,97,1.33,ID,1688920485
567,middlebury (village),44.0153,-73.1673,302.07,0,0,1.54,US,1688920485
568,imbituba,-28.24,-48.6703,294.18,65,65,4.34,BR,1688920233
569,egilsstadir,65.2653,-14.3948,291.1,75,75,6.69,IS,1688920485
570,oranjemund,-28.55,16.4333,285.77,0,0,9.04,NA,1688920486
571,hood river,45.7054,-121.5215,299.76,0,0,4.92,US,1688920189
572,san pedro pochutla,15.7333,-96.4667,301.32,100,100,0.85,MX,1688920486
573,dazhou,31.2159,107.5009,299.58,6,6,0.87,CN,1688920486
574,ishikawa,26.4233,127.8214,301.33,20,20,1.54,JP,1688920486
575,lensk,60.7253,114.9278,288.08,8,8,1.71,RU,1688920486
576,okhotsk,59.3833,143.3,285.54,97,97,1.49,RU,1688920487
577,cestos city,5.46,-9.5828,299.11,80,80,5.25,LR,1688920487
578,davos,46.8043,9.8372,299.45,29,29,1.8,CH,1688920487
579,midvagur,62.0511,-7.1939,288.61,20,20,5.14,FO,1688920487
